Reject Rate,RMSE Accepted,RMSE Rejected,Improvement
0.0,2.2249335701566126,,0.0
0.009370816599732263,2.2099042415365484,3.8137483099920138,-0.6754956112692732
0.018741633199464525,2.2211155608501705,2.42483362884392,-0.17160104722469782
0.029451137884872823,2.2213902906568403,2.3417007354900163,-0.15925327152681334
0.038821954484605084,2.2208837106206802,2.3252025062531496,-0.18202159337493268
0.049531459170013385,2.219860227204941,2.3222869078778827,-0.22802222141468992
0.058902275769745646,2.1993859855862747,2.633114296359966,-1.1482403300939925
0.06961178045515395,2.192748521870603,2.6550991193638565,-1.4465622128099977
0.07898259705488621,2.164705057785969,2.927259273732931,-2.70698025228702
0.08969210174029452,2.180355643190228,2.6773662617557386,-2.003562154138717
0.09906291834002677,2.1503509347911236,2.9032324026022094,-3.352128637271611
0.10977242302543508,2.137246082229653,2.936057710052079,-3.9411283601059464
0.11914323962516733,2.143623416744727,2.8260805470669594,-3.6544980264809728
0.12985274431057564,2.1565746282259752,2.6830089542278963,-3.0724037269043527
0.1392235609103079,2.137951434809068,2.762717349276527,-3.909426174077745
