Reject Rate,RMSE Accepted,RMSE Rejected,Improvement
0.0,2.2249335701566126,,0.0
0.009370816599732263,2.192312066160622,5.673492564018465,-1.4661787854499533
0.018741633199464525,2.1483471467867004,6.234779879452742,-3.4421892139692685
0.029451137884872823,2.0951455835354595,6.502037674717334,-5.833342098929154
0.038821954484605084,2.086432131195219,5.654038162373201,-6.224969626919898
0.049531459170013385,2.0748173778182655,5.105541585297866,-6.746996600342567
0.058902275769745646,2.069822701752712,4.703182217609841,-6.971483125807761
0.06961178045515395,2.063528855268291,4.382169663375527,-7.254361076360598
0.07898259705488621,2.0566105313303336,4.1877513788427185,-7.565306267298168
0.08969210174029452,2.050724294980589,3.993027706271482,-7.829864114269309
0.09906291834002677,2.0384140500583214,3.921252989428912,-8.383150067943921
0.10977242302543508,2.0512835931830566,3.6331925297592322,-7.804726365890232
0.11914323962516733,2.0700625558069286,3.369935002090236,-6.960702846457692
0.12985274431057564,2.091824881581616,3.1168990090612323,-5.982591586571598
0.1392235609103079,2.112189842178459,2.9219933498676998,-5.067285131133951
