Reject Rate,RMSE Accepted,RMSE Rejected,Improvement
0.0,0.1023901063131579,,0.0
0.01,0.10325543801701224,0.016722267631578948,0.8451321470531037
0.02,0.10429950009667026,0.008829810921052632,1.864822542202
0.03,0.10536595172816061,0.006171104561403509,2.906379846800002
0.04,0.10645904555098683,0.0047355646052631584,3.9739574304026695
0.05,0.1075735532797784,0.003904613947368422,5.0624490522229175
0.06,0.10870400008118704,0.003472437280701755,6.166507678699185
0.07,0.10985021790133938,0.003277195213032582,7.285969178862745
0.08,0.11101459602784132,0.0032084745942982463,8.423167066850786
0.09,0.1122153402670137,0.0030460741130604293,9.595882168346948
0.1,0.11344699720662768,0.002878088271929825,10.798788370872987
0.11,0.11470323116006309,0.0027657325518341313,12.025697882611599
0.12,0.1160053181429426,0.002545219561403509,13.297390070230882
0.13,0.11733842062815085,0.002351387435897436,14.599373761048613
0.14,0.11870254367707059,0.002185133934837093,15.93165389829898
