Reject Rate,RMSE Accepted,RMSE Rejected,Improvement
0.01,0.09130038282296649,1.2105762925438597,-10.920495642455958
0.02,0.08101281165503044,1.1550293249122807,-20.957822018837607
0.03,0.07099490293724,1.120936202368421,-30.732045474288572
0.04,0.06109500540204678,1.0960484183552632,-40.391128364833136
0.05,0.05124173027423823,1.0762699631929824,-50.00472293634365
0.06,0.041392106675065314,1.0597426940935673,-59.61475480251873
0.07,0.03160159484436898,1.0443379816416039,-69.16711279181861
0.08,0.021915702881388253,1.029133690866228,-78.61739578785006
0.09,0.012428651243493348,1.0131452143177389,-87.87367524241463
0.1,0.003476338806042885,0.9936443699473685,-96.60822300798394
0.11,0.00155887202444313,0.9191431438038278,-98.47904748040877
0.12,0.0013520460755582135,0.8441945114473686,-98.68084239566856
0.13,0.001206283098406937,0.78033596634278,-98.82305969374377
0.14,0.0010921842523459813,0.7253847390225563,-98.93438308955676
